Data,Acao,Quantidade Produzida,Quantidade em estoque
2023-09-19 21:22:06,SLICER,150,5150
2023-09-19 21:22:11,SLICER,150,7500
2023-09-19 21:22:16,SLICER,150,7350
2023-09-19 21:22:21,SLICER,150,7200
2023-09-19 21:22:26,SLICER,150,7050
2023-09-19 21:22:31,SLICER,150,6900
2023-09-19 21:22:36,SLICER,150,6750
2023-09-19 21:22:41,SLICER,150,6600
2023-09-19 21:22:46,SLICER,150,6450
2023-09-19 21:22:51,SLICER,150,6300
2023-09-19 21:22:56,SLICER,150,6150
2023-09-19 21:23:01,SLICER,150,6000
2023-09-19 21:23:06,SLICER,150,5850
2023-09-19 21:23:11,SLICER,150,5700
2023-09-19 21:23:16,SLICER,150,5550
2023-09-19 21:23:21,SLICER,150,5400
2023-09-19 21:23:26,SLICER,150,5250
2023-09-19 21:23:31,SLICER,150,5100
2023-09-19 21:23:36,SLICER,150,4950
2023-09-19 21:23:41,SLICER,150,4800
2023-09-19 21:23:46,SLICER,150,4650
2023-09-19 21:23:51,SLICER,150,6500
2023-09-19 21:23:56,SLICER,150,6350
2023-09-19 21:24:01,SLICER,150,6200
2023-09-19 21:24:06,SLICER,150,6050
