Data,Atividade,Quantidade Processada,Acao,Quantidade em Estoque
2023-09-19 20:08:03,QUALITY,100,Returned,700
2023-09-19 20:08:08,QUALITY,100,Passed,800
2023-09-19 20:08:13,QUALITY,100,Passed,700
2023-09-19 20:08:18,QUALITY,100,Passed,800
2023-09-19 20:08:23,QUALITY,100,Passed,700
2023-09-19 20:08:28,QUALITY,100,Passed,800
2023-09-19 20:08:38,QUALITY,100,Passed,800
2023-09-19 20:08:43,QUALITY,100,Passed,900
2023-09-19 20:08:53,QUALITY,100,Passed,900
2023-09-19 20:08:58,QUALITY,100,Passed,1000
2023-09-19 20:09:03,QUALITY,100,Returned,900
2023-09-19 20:09:08,QUALITY,100,Passed,1000
2023-09-19 20:09:14,QUALITY,100,Passed,1100
2023-09-19 20:09:19,QUALITY,100,Passed,1000
2023-09-19 20:09:24,QUALITY,100,Passed,1100
2023-09-19 20:09:29,QUALITY,100,Returned,1150
2023-09-19 20:09:34,QUALITY,100,Passed,1050
2023-09-19 20:09:39,QUALITY,100,Passed,950
2023-09-19 20:09:44,QUALITY,100,Passed,1050
2023-09-19 20:09:54,QUALITY,100,Passed,1050
2023-09-19 20:09:59,QUALITY,100,Passed,1150
2023-09-19 20:10:04,QUALITY,100,Passed,1050
2023-09-19 20:10:09,QUALITY,100,Passed,1150
2023-09-19 20:10:14,QUALITY,100,Passed,1250
2023-09-19 20:10:19,QUALITY,100,Passed,1150
2023-09-19 20:10:24,QUALITY,100,Returned,1250
2023-09-19 20:10:29,QUALITY,100,Passed,1150
2023-09-19 20:10:39,QUALITY,100,Passed,1350
2023-09-19 20:10:44,QUALITY,100,Passed,1250
2023-09-19 20:10:49,QUALITY,100,Passed,1250
2023-09-19 20:10:54,QUALITY,100,Passed,1150
2023-09-19 20:10:59,QUALITY,100,Passed,1050
2023-09-19 20:11:09,QUALITY,100,Passed,850
2023-09-19 20:11:14,QUALITY,100,Passed,750
2023-09-19 20:11:19,QUALITY,100,Passed,650
2023-09-19 20:11:24,QUALITY,100,Returned,700
2023-09-19 20:11:29,QUALITY,100,Passed,600
2023-09-19 20:11:34,QUALITY,100,Passed,700
2023-09-19 20:11:39,QUALITY,100,Passed,600
2023-09-19 20:11:44,QUALITY,100,Passed,700
2023-09-19 20:11:54,QUALITY,100,Passed,700
2023-09-19 20:11:59,QUALITY,100,Passed,800
2023-09-19 20:12:04,QUALITY,100,Passed,900
2023-09-19 20:12:09,QUALITY,100,Returned,800
2023-09-19 20:12:14,QUALITY,100,Passed,900
2023-09-19 20:12:19,QUALITY,100,Passed,800
2023-09-19 20:12:24,QUALITY,100,Passed,900
2023-09-19 20:12:29,QUALITY,100,Passed,950
2023-09-19 20:12:34,QUALITY,100,Passed,850
2023-09-19 20:12:39,QUALITY,100,Passed,750
2023-09-19 20:12:44,QUALITY,100,Passed,650
2023-09-19 20:12:49,QUALITY,100,Returned,550
2023-09-19 20:12:54,QUALITY,100,Returned,450
2023-09-19 20:12:59,QUALITY,100,Passed,350
2023-09-19 20:13:04,QUALITY,100,Passed,450
2023-09-19 20:13:09,QUALITY,100,Passed,550
2023-09-19 20:13:14,QUALITY,100,Passed,450
2023-09-19 20:13:19,QUALITY,100,Returned,550
2023-09-19 20:13:24,QUALITY,100,Passed,450
2023-09-19 20:13:29,QUALITY,100,Passed,550
2023-09-19 20:13:34,QUALITY,100,Passed,650
2023-09-19 20:13:39,QUALITY,100,Passed,550
2023-09-19 20:13:44,QUALITY,100,Passed,650
2023-09-19 20:13:49,QUALITY,100,Passed,650
2023-09-19 20:13:54,QUALITY,100,Passed,550
2023-09-19 20:14:04,QUALITY,100,Passed,350
2023-09-19 20:14:09,QUALITY,100,Passed,250
2023-09-19 20:14:14,QUALITY,100,Passed,150
2023-09-19 20:14:19,QUALITY,100,Passed,50
2023-09-19 20:14:24,QUALITY,50,Passed,0
2023-09-19 20:14:49,QUALITY,100,Passed,50
2023-09-19 20:14:54,QUALITY,50,Returned,200
2023-09-19 20:14:59,QUALITY,100,Passed,300
2023-09-19 20:15:04,QUALITY,100,Passed,200
2023-09-19 20:15:09,QUALITY,100,Passed,300
2023-09-19 20:15:14,QUALITY,100,Passed,400
2023-09-19 20:15:19,QUALITY,100,Passed,300
2023-09-19 20:15:25,QUALITY,100,Returned,400
2023-09-19 20:15:30,QUALITY,100,Passed,300
2023-09-19 20:15:35,QUALITY,100,Returned,400
2023-09-19 20:15:40,QUALITY,100,Passed,500
2023-09-19 20:15:45,QUALITY,100,Passed,400
