Data,acao,Quantidade Produzida,Quantidade em estoque
2023-09-18 13:56:47,0
2023-09-18 13:56:52,0
2023-09-18 12023-09-18 13:56:55,150
2023-09-18 13:57:00,0
2023-09-18 13:57:08,agente4,150,300
2023-09-18 13:57:08,150
2023-09-18 13:57:16,agente4,200,250
2023-09-18 13:57:16,200
2023-09-18 13:57:24,agente4,200,350
2023-09-18 13:57:24,200
2023-09-18 13:57:32,agente4,200,300
2023-09-18 13:57:32,200
2023-09-18 13:57:40,agente4,200,400
2023-09-18 13:57:40,200
2023-09-18 13:57:48,agente4,200,500
2023-09-18 13:57:48,200
2023-09-18 13:57:56,agente4,200,450
2023-09-18 13:57:56,200
2023-09-18 13:58:04,agente4,200,550
2023-09-18 13:58:04,200
2023-09-18 13:58:12,agente4,200,500
2023-09-18 13:58:12,200
2023-09-18 13:58:20,agente4,200,550
2023-09-18 13:58:20,200
2023-09-18 13:58:28,agente4,200,350
2023-09-18 13:58:28,200
2023-09-18 13:58:36,agente4,200,150
2023-09-18 13:58:36,200
2023-09-18 13:58:44,agente4,150,300
2023-09-18 13:58:44,150
2023-09-18 13:58:52,agente4,200,250
2023-09-18 13:58:52,200
2023-09-18 13:59:00,agente4,200,350
2023-09-18 13:59:00,200
2023-09-18 13:59:08,agente4,200,450
2023-09-18 13:59:08,200
2023-09-18 13:59:16,agente4,200,400
2023-09-18 13:59:16,200
2023-09-18 13:59:24,agente4,200,500
2023-09-18 13:59:24,200
2023-09-18 13:59:32,agente4,200,450
2023-09-18 13:59:32,200
2023-09-18 13:59:40,agente4,200,550
2023-09-18 13:59:40,200
2023-09-18 13:59:48,agente4,200,400
2023-09-18 13:59:48,200
2023-09-18 13:59:56,agente4,200,200
2023-09-18 13:59:56,200
2023-09-18 14:00:04,agente4,200,0
2023-09-18 14:00:04,200
2023-09-18 14:00:09,0
2023-09-18 14:00:14,0
2023-09-18 14:00:19,0
2023-09-18 14:00:27,agente4,150,150
2023-09-18 14:00:27,150
2023-09-18 14:00:35,agente4,150,300
2023-09-18 14:00:35,150
2023-09-18 14:00:43,agente4,200,400
2023-09-18 14:00:43,200
2023-09-18 14:00:51,agente4,200,350
2023-09-18 14:00:51,200
2023-09-18 14:00:59,agente4,200,450
2023-09-18 14:01:00,200
2023-09-18 14:01:08,agente4,200,400
2023-09-18 14:01:08,200
2023-09-18 14:01:16,agente4,200,200
2023-09-18 14:01:16,200
2023-09-18 14:01:24,agente4,200,0
2023-09-18 14:01:24,200
2023-09-18 14:01:29,0
2023-09-18 14:01:34,0
2023-09-18 14:01:39,0
2023-09-18 14:01:44,0
2023-09-18 14:01:49,0
2023-09-18 14:01:54,0
2023-09-18 14:01:59,0
2023-09-18 14:02:07,agente4,150,150
2023-09-18 14:02:07,150
2023-09-18 14:02:15,agente4,150,300
2023-09-18 14:02:15,150
2023-09-18 14:02:23,agente4,200,250
2023-09-18 14:02:23,200
2023-09-18 14:02:31,agente4,200,350
2023-09-18 14:02:31,200
2023-09-18 14:02:39,agente4,200,450
2023-09-18 14:02:39,200
2023-09-18 14:02:47,agente4,200,400
2023-09-18 14:02:47,200
2023-09-18 14:02:55,agente4,200,500
2023-09-18 14:02:55,200
2023-09-18 14:03:03,agente4,200,450
2023-09-18 14:03:03,200
